school,suburb,state,postcode,score,schoolType,educationLevel
Marrickville Public School,MARRICKVILLE,NSW,2204,,Government,primary
Marrickville West Public School,MARRICKVILLE,NSW,2204,,Government,primary
St Brigid's Catholic Primary School,MARRICKVILLE,NSW,2204,,Catholic,primary
Marrickville High School,MARRICKVILLE,NSW,2204,,Government,secondary
"Aspect South East Sydney School, Marrickville",MARRICKVILLE,NSW,2204,,Private,primary
St Maroun's College,MARRICKVILLE,NSW,2204,,Private,secondary
Waranara School,MARRICKVILLE,NSW,2204,,Private,secondary
Al Zahra College,ARNCLIFFE,NSW,2205,,Private,secondary
Kingdom Culture Christian School,ARNCLIFFE,NSW,2205,,Private,secondary
Arncliffe West Infants School,ARNCLIFFE,NSW,2205,,Government,primary
Athelstane Public School,ARNCLIFFE,NSW,2205,,Government,primary
Arncliffe Public School,ARNCLIFFE,NSW,2205,,Government,primary
St Francis Xavier's Catholic Primary School,ARNCLIFFE,NSW,2205,,Catholic,primary
Kingdom Culture Christian School,ARNCLIFFE,NSW,2205,,Private,primary
Al Zahra College,ARNCLIFFE,NSW,2205,,Private,primary
Clemton Park Public School,EARLWOOD,NSW,2206,,Government,primary
Earlwood Public School,EARLWOOD,NSW,2206,97,Government,primary
Undercliffe Public School,EARLWOOD,NSW,2206,,Government,primary
Our Lady of Lourdes Catholic Primary School,EARLWOOD,NSW,2206,,Catholic,primary
Bardwell Park Infants School,BARDWELL PARK,NSW,2207,,Government,primary
Marist College Kogarah,BEXLEY,NSW,2207,,Catholic,secondary
St Gabriel's Catholic School,BEXLEY,NSW,2207,,Catholic,primary
Sydney Technical High School,BEXLEY,NSW,2207,99,Government,secondary
Bexley Public School,BEXLEY,NSW,2207,,Government,primary
Carlton Public School,BEXLEY,NSW,2207,,Government,primary
St Mary and St Mina's Coptic Orthodox College,BEXLEY,NSW,2207,,Private,primary
St Mary and St Mina's Coptic Orthodox College,BEXLEY,NSW,2207,92,Private,secondary
Bexley North Public School,BEXLEY,NSW,2207,,Government,primary
Kingsgrove High School,KINGSGROVE,NSW,2208,,Government,secondary
Kingsgrove North High School,KINGSGROVE,NSW,2208,,Government,secondary
Kingsgrove Public School,KINGSGROVE,NSW,2208,,Government,primary
Arkana College,KINGSGROVE,NSW,2208,,Private,primary
St Ursula's College,KINGSGROVE,NSW,2208,PNO,Catholic,secondary
Our Lady of Fatima Catholic Primary School,KINGSGROVE,NSW,2208,,Catholic,primary
Narwee Public School,NARWEE,NSW,2209,,Government,primary
Regina Coeli Catholic Primary School,BEVERLY HILLS,NSW,2209,,Catholic,primary
Beverly Hills Girls High School,BEVERLY HILLS,NSW,2209,,Government,secondary
Beverly Hills North Public School,BEVERLY HILLS,NSW,2209,,Government,primary
Beverly Hills Public School,BEVERLY HILLS,NSW,2209,,Government,primary
Hannans Road Public School,RIVERWOOD,NSW,2210,,Government,primary
Riverwood Public School,RIVERWOOD,NSW,2210,,Government,primary
Peakhurst West Public School,PEAKHURST,NSW,2210,,Government,primary
Peakhurst Public School,PEAKHURST,NSW,2210,,Government,primary
Peakhurst South Public School,PEAKHURST,NSW,2210,,Government,primary
Georges River College Peakhurst Campus,PEAKHURST,NSW,2210,,Government,secondary
Aspect South East Sydney School,PEAKHURST,NSW,2210,,Private,primary
Lugarno Public School,LUGARNO,NSW,2210,,Government,primary
St Joseph's Catholic Primary School,RIVERWOOD,NSW,2210,,Catholic,primary
Southside Montessori School,RIVERWOOD,NSW,2210,,Private,primary
Padstow Park Public School,PADSTOW,NSW,2211,,Government,primary
Caroline Chisholm School,PADSTOW,NSW,2211,,Government,secondary
Padstow Heights Public School,PADSTOW,NSW,2211,,Government,primary
St Therese Catholic Primary School,PADSTOW,NSW,2211,,Catholic,primary
Padstow North Public School,PADSTOW,NSW,2211,,Government,primary
Caroline Chisholm School,PADSTOW,NSW,2211,,Government,primary
"De La Salle College, Revesby Heights",REVESBY HEIGHTS,NSW,2212,,Catholic,secondary
Broderick Gillawarna School,REVESBY,NSW,2212,,Government,primary
Broderick Gillawarna School,REVESBY,NSW,2212,,Government,secondary
Revesby South Public School,REVESBY,NSW,2212,,Government,primary
St Luke's Catholic Primary School,REVESBY,NSW,2212,,Catholic,primary
Sir Joseph Banks High School,REVESBY,NSW,2212,,Government,secondary
Revesby Public School,REVESBY,NSW,2212,,Government,primary
St Christopher's Catholic Primary School,PANANIA,NSW,2213,,Catholic,primary
Panania North Public School,PANANIA,NSW,2213,,Government,primary
Tower Street Public School,PANANIA,NSW,2213,,Government,primary
East Hills Boys High School,PANANIA,NSW,2213,,Government,secondary
Panania Public School,PANANIA,NSW,2213,,Government,primary
Picnic Point Public School,PICNIC POINT,NSW,2213,99,Government,primary
Picnic Point High School,PICNIC POINT,NSW,2213,,Government,secondary
East Hills Girls Technology High School,PANANIA,NSW,2213,,Government,secondary
East Hills Public School,PANANIA,NSW,2213,,Government,primary
Mount St Joseph Milperra,MILPERRA,NSW,2214,,Catholic,secondary
Milperra Public School,MILPERRA,NSW,2214,,Government,primary
St Joseph's Catholic Primary School,ROCKDALE,NSW,2216,,Catholic,primary
St Dominic Savio School,ROCKDALE,NSW,2216,,Private,primary
Kyeemagh Public School,ROCKDALE,NSW,2216,,Government,primary
"St Mary and St Mina's Coptic Orthodox College, Rockdale campus",ROCKDALE,NSW,2216,,Private,secondary
Rockdale Public School,ROCKDALE,NSW,2216,,Government,primary
St Thomas More's Catholic School,BRIGHTON LE SANDS,NSW,2216,,Catholic,primary
Cairnsfoot School,BRIGHTON LE SANDS,NSW,2216,,Government,secondary
Cairnsfoot School,BRIGHTON LE SANDS,NSW,2216,,Government,primary
Brighton-Le-Sands Public School,BRIGHTON LE SANDS,NSW,2216,,Government,primary
St Patrick's Catholic Primary School,KOGARAH,NSW,2217,,Catholic,primary
Ramsgate Public School,RAMSGATE,NSW,2217,,Government,primary
James Cook Boys High School,KOGARAH,NSW,2217,,Government,secondary
Kogarah High School,KOGARAH,NSW,2217,,Government,secondary
St George Hospital School,KOGARAH,NSW,2217,,Government,primary
St George Hospital School,KOGARAH,NSW,2217,,Government,secondary
St George Girls High School,KOGARAH,NSW,2217,99,Government,secondary
Kogarah Public School,KOGARAH,NSW,2217,,Government,primary
St George School,KOGARAH,NSW,2217,,Government,secondary
Moorefield Girls High School,KOGARAH,NSW,2217,,Government,secondary
St George School,KOGARAH,NSW,2217,,Government,primary
Carlton South Public School,CARLTON,NSW,2218,,Government,primary
St Finbar's Primary School,SANS SOUCI,NSW,2219,,Catholic,primary
"The Scots College, Brighton Preparatory School",DOLLS POINT,NSW,2219,,Private,primary
Sans Souci Public School,SANS SOUCI,NSW,2219,,Government,primary
"Aspect South East Sydney School, Hurstville",HURSTVILLE,NSW,2220,,Private,primary
St George Christian School,HURSTVILLE,NSW,2220,98,Private,secondary
Woniora Road School,HURSTVILLE,NSW,2220,,Government,secondary
Danebank - An Anglican School for Girls,HURSTVILLE,NSW,2220,,Private,secondary
St George Christian School,HURSTVILLE,NSW,2220,100,Private,primary
Danebank - An Anglican School for Girls,HURSTVILLE,NSW,2220,,Private,primary
Hurstville Adventist School,HURSTVILLE,NSW,2220,99,Private,primary
Bethany College,HURSTVILLE,NSW,2220,92,Catholic,secondary
St Mary's Star of the Sea Catholic Primary School,HURSTVILLE,NSW,2220,,Catholic,primary
Georges River College Hurstville Boys Campus,HURSTVILLE,NSW,2220,,Government,secondary
Hurstville South Public School,HURSTVILLE,NSW,2220,99,Government,primary
Hurstville Public School,HURSTVILLE,NSW,2220,100,Government,primary
St Raphael's Catholic Primary School,SOUTH HURSTVILLE,NSW,2221,99,Catholic,primary
Marist Catholic College Penshurst - South Hurstville Campus,SOUTH HURSTVILLE,NSW,2221,,Catholic,secondary
Connells Point Public School,SOUTH HURSTVILLE,NSW,2221,,Government,primary
Mater Dei Catholic Primary School,BLAKEHURST,NSW,2221,,Catholic,primary
Blakehurst High School,BLAKEHURST,NSW,2221,,Government,secondary
Bald Face Public School,BLAKEHURST,NSW,2221,,Government,primary
Blakehurst Public School,BLAKEHURST,NSW,2221,,Government,primary
St Declan's Catholic Primary School,PENSHURST,NSW,2222,,Catholic,primary
Georges River College Penshurst Girls Campus,PENSHURST,NSW,2222,,Government,secondary
Penshurst Public School,PENSHURST,NSW,2222,,Government,primary
Hurstville Grove Infants School,PENSHURST,NSW,2222,,Government,primary
Georges River College Oatley Senior Campus,OATLEY,NSW,2223,,Government,secondary
Carinya School,MORTDALE,NSW,2223,,Government,secondary
Oatley Public School,OATLEY,NSW,2223,,Government,primary
Marist Catholic College Penshurst,MORTDALE,NSW,2223,92,Catholic,secondary
St Joseph's Catholic Primary School,OATLEY,NSW,2223,97,Catholic,primary
Carinya School,MORTDALE,NSW,2223,,Government,primary
Mortdale Public School,MORTDALE,NSW,2223,,Government,primary
Oatley West Public School,OATLEY,NSW,2223,98,Government,primary
Penshurst West Public School,MORTDALE,NSW,2223,,Government,primary
Sylvania High School,SYLVANIA,NSW,2224,,Government,secondary
Sylvania Heights Public School,SYLVANIA,NSW,2224,,Government,primary
Sylvania Public School,SYLVANIA,NSW,2224,,Government,primary
Oyster Bay Public School,OYSTER BAY,NSW,2225,,Government,primary
Jannali East Public School,JANNALI,NSW,2226,,Government,primary
Jannali Public School,JANNALI,NSW,2226,,Government,primary
Como Public School,COMO,NSW,2226,,Government,primary
Bonnet Bay Public School,BONNET BAY,NSW,2226,,Government,primary
St Joseph's Catholic Primary School Como - Oyster Bay,COMO,NSW,2226,,Catholic,primary
The Jannali High School,JANNALI,NSW,2226,,Government,secondary
Como West Public School,COMO,NSW,2226,,Government,primary
Sydney Montessori School,GYMEA,NSW,2227,,Private,secondary
Sydney Montessori School,GYMEA,NSW,2227,,Private,primary
Gymea Bay Public School,GYMEA BAY,NSW,2227,,Government,primary
Gymea North Public School,GYMEA,NSW,2227,,Government,primary
Gymea Technology High School,GYMEA,NSW,2227,,Government,secondary
St Catherine Labouré Catholic Primary School,GYMEA,NSW,2227,,Catholic,primary
Miranda North Public School,MIRANDA,NSW,2228,,Government,primary
Yowie Bay Public School,YOWIE BAY,NSW,2228,,Government,primary
Port Hacking High School,MIRANDA,NSW,2228,,Government,secondary
Our Lady Star of the Sea Catholic School,MIRANDA,NSW,2228,,Catholic,primary
Miranda Public School,MIRANDA,NSW,2228,,Government,primary
"Aspect South East Sydney School, Caringbah",CARINGBAH,NSW,2229,,Private,primary
Endeavour Sports High School,CARINGBAH,NSW,2229,,Government,secondary
Caringbah High School,CARINGBAH,NSW,2229,99,Government,secondary
Laguna Street Public School,CARINGBAH,NSW,2229,,Government,primary
Caringbah North Public School,CARINGBAH,NSW,2229,,Government,primary
Caringbah Public School,CARINGBAH,NSW,2229,,Government,primary
Sutherland Hospital School,CARINGBAH,NSW,2229,,Government,secondary
Lilli Pilli Public School,LILLI PILLI,NSW,2229,,Government,primary
"De La Salle Catholic College, Caringbah",CARINGBAH,NSW,2229,,Catholic,secondary
Our Lady of Fatima Catholic Primary School,CARINGBAH,NSW,2229,,Catholic,primary
Taren Point Public School,TAREN POINT,NSW,2229,,Government,primary
Sutherland Hospital School,CARINGBAH,NSW,2229,,Government,primary
Cronulla South Public School,CRONULLA,NSW,2230,,Government,primary
Woolooware Public School,CRONULLA,NSW,2230,,Government,primary
Burraneer Bay Public School,CRONULLA,NSW,2230,,Government,primary
St Francis de Sales Catholic Primary School,WOOLOOWARE,NSW,2230,,Catholic,primary
Cronulla High School,CRONULLA,NSW,2230,,Government,secondary
St Aloysius Catholic Primary School,CRONULLA,NSW,2230,98,Catholic,primary
Cronulla Public School,CRONULLA,NSW,2230,,Government,primary
Our Lady of Mercy Catholic College Burraneer,CRONULLA,NSW,2230,,Catholic,secondary
Bundeena Public School,BUNDEENA,NSW,2230,,Government,primary
Woolooware High School,WOOLOOWARE,NSW,2230,,Government,secondary
"De La Salle Catholic College, Cronulla",CRONULLA,NSW,2230,,Catholic,secondary
Kamay Botany Bay Environmental Education Centre,KURNELL,NSW,2231,,Government,primary
Kamay Botany Bay Environmental Education Centre,KURNELL,NSW,2231,,Government,secondary
Kurnell Public School,KURNELL,NSW,2231,,Government,primary
Minerva School,SUTHERLAND,NSW,2232,,Government,secondary
Grays Point Public School,GRAYS POINT,NSW,2232,,Government,primary
Woronora River Public School,WORONORA,NSW,2232,,Government,primary
St Patrick's Catholic Primary School,SUTHERLAND,NSW,2232,,Catholic,primary
Kareela Public School,KAREELA,NSW,2232,,Government,primary
Kirrawee High School,KIRRAWEE,NSW,2232,92,Government,secondary
Minerva School,SUTHERLAND,NSW,2232,,Government,primary
Bates Drive School,KAREELA,NSW,2232,,Government,primary
Bates Drive School,KAREELA,NSW,2232,,Government,secondary
Kirrawee Public School,KIRRAWEE,NSW,2232,,Government,primary
"Aspect South East Sydney School, Kirrawee",KIRRAWEE,NSW,2232,,Private,primary
Sutherland North Public School,SUTHERLAND,NSW,2232,,Government,primary
St Patrick's College Sutherland,SUTHERLAND,NSW,2232,,Catholic,secondary
Sutherland Public School,SUTHERLAND,NSW,2232,100,Government,primary
Loftus Public School,LOFTUS,NSW,2232,,Government,primary
Cook School,LOFTUS,NSW,2232,,Government,primary
Cook School,LOFTUS,NSW,2232,,Government,secondary
"Aspect South East Sydney School, Loftus",LOFTUS,NSW,2232,,Private,primary
"Aspect South East Sydney School, Kareela",KAREELA,NSW,2232,,Private,primary
"Dunlea Centre, Australia's Original Boys' Town",ENGADINE,NSW,2233,,Private,secondary
Waterfall Public School,WATERFALL,NSW,2233,,Government,primary
Engadine Public School,ENGADINE,NSW,2233,,Government,primary
Engadine West Public School,ENGADINE,NSW,2233,,Government,primary
Marton Public School,ENGADINE,NSW,2233,,Government,primary
Southern Cross Baptist Church Christian School,ENGADINE,NSW,2233,,Private,primary
Yarrawarrah Public School,ENGADINE,NSW,2233,,Government,primary
Engadine High School,ENGADINE,NSW,2233,,Government,secondary
St John Bosco Catholic Primary School,ENGADINE,NSW,2233,,Catholic,primary
Heathcote East Public School,HEATHCOTE,NSW,2233,,Government,primary
Heathcote Public School,HEATHCOTE,NSW,2233,,Government,primary
Southern Cross Baptist Church Christian School,ENGADINE,NSW,2233,,Private,secondary
St John Bosco College,ENGADINE,NSW,2233,,Catholic,secondary
Heathcote High School,HEATHCOTE,NSW,2233,,Government,secondary
"Aspect South East Sydney School, Menai",MENAI,NSW,2234,,Private,secondary
Holy Family Catholic Primary School,MENAI,NSW,2234,,Catholic,primary
Menai High School,MENAI,NSW,2234,,Government,secondary
Tharawal Public School,MENAI,NSW,2234,,Government,primary
Menai Public School,MENAI,NSW,2234,,Government,primary
Alfords Point Public School,ALFORDS POINT,NSW,2234,,Government,primary
Inaburra School,BANGOR,NSW,2234,92,Private,secondary
Illawong Public School,ILLAWONG,NSW,2234,,Government,primary
Aquinas Catholic College,MENAI,NSW,2234,,Catholic,secondary
Lucas Heights Community School,BARDEN RIDGE,NSW,2234,,Government,primary
Lucas Heights Community School,BARDEN RIDGE,NSW,2234,,Government,secondary
Shire Christian School,BARDEN RIDGE,NSW,2234,,Private,primary
Shire Christian School,BARDEN RIDGE,NSW,2234,94,Private,secondary
Inaburra School,BANGOR,NSW,2234,,Private,primary
Bangor Public School,BANGOR,NSW,2234,,Government,primary
Point Clare Public School,POINT CLARE,NSW,2250,,Government,primary
Holgate Public School,HOLGATE,NSW,2250,,Government,primary
St Philip's Christian College - Gosford,NARARA,NSW,2250,,Private,secondary
St Philip's Christian College DALE - Gosford,NARARA,NSW,2250,,Private,primary
St Philip's Christian College DALE - Gosford,NARARA,NSW,2250,,Private,secondary
"Aspect Central Coast School, East Gosford",EAST GOSFORD,NSW,2250,,Private,secondary
Narara Public School,LISAROW,NSW,2250,,Government,primary
Lisarow High School,LISAROW,NSW,2250,,Government,secondary
North Gosford Learning Centre,NORTH GOSFORD,NSW,2250,,Government,primary
Niagara Park Public School,NIAGARA PARK,NSW,2250,,Government,primary
Kariong Public School,KARIONG,NSW,2250,,Government,primary
Lisarow Public School,LISAROW,NSW,2250,,Government,primary
Ngaruki Gulgul,KARIONG,NSW,2250,,Private,secondary
Central Coast Sports College,KARIONG,NSW,2250,,Private,secondary
Central Coast Sports College,KARIONG,NSW,2250,,Private,primary
ET Australia Secondary College Senior Campus,GOSFORD,NSW,2250,,Private,secondary
ET Australia Secondary College,GOSFORD,NSW,2250,,Private,secondary
Henry Kendall High School,GOSFORD,NSW,2250,,Government,secondary
Girrakool School,KARIONG,NSW,2250,,Government,secondary
St Philip's Christian College - Gosford,NARARA,NSW,2250,,Private,primary
Woodport Public School,ERINA,NSW,2250,,Government,primary
Gosford High School,GOSFORD,NSW,2250,99,Government,secondary
"Aspect Central Coast School, East Gosford",EAST GOSFORD,NSW,2250,,Private,primary
North Gosford Learning Centre,NORTH GOSFORD,NSW,2250,,Government,secondary
Rumbalara Environmental Education Centre,GOSFORD,NSW,2250,,Government,primary
Rumbalara Environmental Education Centre,GOSFORD,NSW,2250,,Government,secondary
Somersby Public School,GOSFORD,NSW,2250,,Government,primary
Gosford Public School,WEST GOSFORD,NSW,2250,,Government,primary
Wyoming Public School,WYOMING,NSW,2250,,Government,primary
St Edward's Christian Brothers' College,EAST GOSFORD,NSW,2250,,Private,secondary
Valley View Public School,WYOMING,NSW,2250,,Government,primary
St Joseph's Catholic College,EAST GOSFORD,NSW,2250,,Catholic,secondary
St Patrick's Catholic Primary School,EAST GOSFORD,NSW,2250,,Catholic,primary
Our Lady of the Rosary Catholic Primary School,WYOMING,NSW,2250,,Catholic,primary
Central Coast Adventist School,ERINA,NSW,2250,,Private,secondary
Central Coast Adventist School,ERINA,NSW,2250,,Private,primary
Erina High School,ERINA,NSW,2250,,Government,secondary
Gosford East Public School,EAST GOSFORD,NSW,2250,,Government,primary
Chertsey Primary School,SPRINGFIELD,NSW,2250,,Government,primary
Glenvale School,NARARA,NSW,2250,,Government,primary
Glenvale School,NARARA,NSW,2250,,Government,secondary
Narara Valley High School,NARARA,NSW,2250,,Government,secondary
Kariong Mountains High School,KARIONG,NSW,2250,,Government,secondary
Brisbania Public School,SARATOGA,NSW,2251,,Government,primary
Kincumber High School,KINCUMBER,NSW,2251,,Government,secondary
Holy Cross Catholic Primary School,KINCUMBER,NSW,2251,,Catholic,primary
Coast Christian School,BENSVILLE,NSW,2251,99,Private,primary
Eagle Arts and Vocational College Central Coast,KINCUMBER,NSW,2251,,Private,special
Copacabana Public School,COPACABANA,NSW,2251,,Government,primary
Yattalunga Valley Christian School,GREEN POINT,NSW,2251,,Private,primary
Green Point Christian College,GREEN POINT,NSW,2251,92,Private,secondary
Green Point Christian College,GREEN POINT,NSW,2251,,Private,primary
Kincumber Public School,KINCUMBER,NSW,2251,,Government,primary
Avoca Beach Public School,AVOCA BEACH,NSW,2251,,Government,primary
"Aspect Central Coast School, Woy Woy",WOY WOY,NSW,2256,,Private,secondary
"Aspect Central Coast School, Woy Woy",WOY WOY,NSW,2256,,Private,primary
Woy Woy Public School,WOY WOY,NSW,2256,,Government,primary
Woy Woy South Public School,WOY WOY,NSW,2256,,Government,primary
Brisbane Water Secondary College Woy Woy Campus,WOY WOY,NSW,2256,,Government,secondary
Empire Bay Public School,EMPIRE BAY,NSW,2257,,Government,primary
Ettalong Public School,ETTALONG BEACH,NSW,2257,,Government,primary
Pretty Beach Public School,PRETTY BEACH,NSW,2257,,Government,primary
Umina Beach Public School,UMINA BEACH,NSW,2257,,Government,primary
Brisbane Water Secondary College Umina Campus,UMINA BEACH,NSW,2257,,Government,secondary
Ourimbah Public School,OURIMBAH,NSW,2258,,Government,primary
Central Coast Steiner School,FOUNTAINDALE,NSW,2258,,Private,primary
Central Coast Steiner School,FOUNTAINDALE,NSW,2258,,Private,secondary
Wyong Christian Community School,WYONG,NSW,2259,,Private,primary
Tacoma Public School,TACOMA,NSW,2259,,Government,primary
St Brendan's Catholic Primary School,LAKE MUNMORAH,NSW,2259,,Catholic,primary
Lake Munmorah High School,LAKE MUNMORAH,NSW,2259,,Government,secondary
Lake Munmorah Public School,LAKE MUNMORAH,NSW,2259,,Government,primary
Kanwal Public School,KANWAL,NSW,2259,,Government,primary
St Brigid's Catholic College,LAKE MUNMORAH,NSW,2259,,Catholic,secondary
Wyong Public School,WYONG,NSW,2259,,Government,primary
Wadalba Community School,WADALBA,NSW,2259,,Government,secondary
Wadalba Community School,WADALBA,NSW,2259,,Government,primary
HopeTown School,WYONG,NSW,2259,,Government,primary
HopeTown School,WYONG,NSW,2259,,Government,secondary
MacKillop Catholic College,WARNERVALE,NSW,2259,,Catholic,secondary
Porters Creek Public School,WARNERVALE,NSW,2259,,Government,primary
Wyong High School,WYONG,NSW,2259,,Government,secondary
Jilliby Public School,WYONG,NSW,2259,,Government,primary
Wyong Christian Community School,WYONG,NSW,2259,,Private,secondary
St Cecilia's Catholic Primary School,WYONG,NSW,2259,,Catholic,primary
St Peter's Catholic College,TUGGERAH,NSW,2259,,Catholic,secondary
"Aspect Central Coast School, Tuggerah",TUGGERAH,NSW,2259,,Private,secondary
Lakes Grammar - An Anglican School,WARNERVALE,NSW,2259,,Private,primary
Gwandalan Public School,GWANDALAN,NSW,2259,,Government,primary
Tuggerawong Public School,TUGGERAWONG,NSW,2259,,Government,primary
Mannering Park Public School,MANNERING PARK,NSW,2259,,Government,primary
Warnervale Public School,HAMLYN TERRACE,NSW,2259,,Government,primary
St Philip's Christian College DALE Young Parents - Wyong,WYONG,NSW,2259,,Private,secondary
"Aspect Central Coast School, Tuggerah",TUGGERAH,NSW,2259,,Private,primary
Tuggerah Public School,TUGGERAH,NSW,2259,,Government,primary
Lakes Grammar - An Anglican School,WARNERVALE,NSW,2259,,Private,secondary
Woongarrah Public School,WOONGARRAH,NSW,2259,,Government,primary
MacKillop Catholic College,WARNERVALE,NSW,2259,,Catholic,primary
Wyee Public School,WYEE,NSW,2259,,Government,primary
Darkinjung Barker,YARRAMALONG,NSW,2259,,Private,primary
Terrigal High School,TERRIGAL,NSW,2260,,Government,secondary
Central Coast Grammar School,ERINA HEIGHTS,NSW,2260,98,Private,primary
Central Coast Grammar School,ERINA HEIGHTS,NSW,2260,97,Private,secondary
"Aspect Central Coast School, Wamberal",WAMBERAL,NSW,2260,,Private,special
Terrigal Public School,TERRIGAL,NSW,2260,,Government,primary
Wamberal Public School,WAMBERAL,NSW,2260,,Government,primary
Aspect Central Coast School Senior College,TERRIGAL,NSW,2260,,Private,secondary
Erina Heights Public School,ERINA HEIGHTS,NSW,2260,,Government,primary
Our Lady Star of The Sea Catholic Primary School,TERRIGAL,NSW,2260,,Catholic,primary
Aspect Central Coast School,TERRIGAL,NSW,2260,,Private,primary
Aspect Central Coast School,TERRIGAL,NSW,2260,,Private,secondary
Brooke Avenue Public School,KILLARNEY VALE,NSW,2261,,Government,primary
Chittaway Bay Public School,CHITTAWAY BAY,NSW,2261,,Government,primary
Berkeley Vale Public School,BERKELEY VALE,NSW,2261,,Government,primary
Tuggerah Lakes Secondary College Berkeley Vale Campus,BERKELEY VALE,NSW,2261,,Government,secondary
Killarney Vale Public School,KILLARNEY VALE,NSW,2261,,Government,primary
The Central Coast Montessori Primary School,BATEAU BAY,NSW,2261,,Private,primary
St John Fisher Catholic Primary School,TUMBI UMBI,NSW,2261,,Catholic,primary
Tuggerah Lakes Secondary College Tumbi Umbi Campus,TUMBI UMBI,NSW,2261,,Government,secondary
Our Lady of the Rosary Catholic Primary School,SHELLY BEACH,NSW,2261,,Catholic,primary
Tuggerah Lakes Secondary College The Entrance Campus,LONG JETTY,NSW,2261,,Government,secondary
Bateau Bay Public School,BATEAU BAY,NSW,2261,,Government,primary
TLK Youth College,BERKELEY VALE,NSW,2261,,Private,secondary
The Entrance Public School,THE ENTRANCE,NSW,2261,,Government,primary
Northlakes High School,SAN REMO,NSW,2262,,Government,secondary
Budgewoi Public School,BUDGEWOI,NSW,2262,,Government,primary
Blue Haven Public School,BLUE HAVEN,NSW,2262,,Government,primary
The Lakes College,BLUE HAVEN,NSW,2262,,Private,secondary
Northlakes Public School,SAN REMO,NSW,2262,,Government,primary
"Aspect Central Coast School, Noraville",NORAVILLE,NSW,2263,,Private,primary
Gorokan Public School,GOROKAN,NSW,2263,,Government,primary
"Aspect Central Coast School, Noraville",NORAVILLE,NSW,2263,,Private,secondary
Toukley Public School,TOUKLEY,NSW,2263,,Government,primary
Gorokan High School,LAKE HAVEN,NSW,2263,,Government,secondary
St Mary's Catholic Primary School,NORAVILLE,NSW,2263,,Catholic,primary
Brightwaters Christian College,BRIGHTWATERS,NSW,2264,,Private,secondary
Brightwaters Christian College,BRIGHTWATERS,NSW,2264,,Private,primary
Bonnells Bay Public School,BONNELLS BAY,NSW,2264,,Government,primary
Morisset Public School,MORISSET,NSW,2264,,Government,primary
St John Vianney's Primary School,MORISSET,NSW,2264,,Catholic,primary
Morisset High School,MORISSET,NSW,2264,,Government,secondary
Heritage College Lake Macquarie,MORISSET,NSW,2264,,Private,primary
Heritage College Lake Macquarie,MORISSET,NSW,2264,,Private,secondary
Dora Creek Public School,DORA CREEK,NSW,2264,,Government,primary
Avondale School,COORANBONG,NSW,2265,,Private,secondary
Avondale School,COORANBONG,NSW,2265,,Private,primary
Cooranbong Public School,COORANBONG,NSW,2265,,Government,primary
Wangi Wangi Public School,WANGI WANGI,NSW,2267,,Government,primary
Barnsley Public School,BARNSLEY,NSW,2278,,Government,primary
Wakefield School,WAKEFIELD,NSW,2278,,Government,primary
Wakefield School,WAKEFIELD,NSW,2278,,Government,secondary
Belmont Public School,BELMONT,NSW,2280,,Government,primary
Marks Point Public School,MARKS POINT,NSW,2280,,Government,primary
Belmont North Public School,BELMONT,NSW,2280,,Government,primary
Belmont Christian College,BELMONT NORTH,NSW,2280,,Private,secondary
Belmont Christian College,BELMONT NORTH,NSW,2280,,Private,primary
St Francis Xavier's Primary School,BELMONT,NSW,2280,,Catholic,primary
Valentine Public School,VALENTINE,NSW,2280,,Government,primary
Floraville Public School,BELMONT,NSW,2280,,Government,primary
Belmont High School,BELMONT,NSW,2280,,Government,secondary
Jewells Primary School,JEWELLS,NSW,2280,,Government,primary
Swansea Public School,SWANSEA,NSW,2281,,Government,primary
St Patrick's Primary School,SWANSEA,NSW,2281,,Catholic,primary
Swansea High School,CAVES BEACH,NSW,2281,,Government,secondary
Pelican Flat Public School,PELICAN,NSW,2281,,Government,primary
Blacksmiths Public School,BLACKSMITHS,NSW,2281,,Government,primary
Nords Wharf Public School,NORDS WHARF,NSW,2281,,Government,primary
Caves Beach Public School,CAVES BEACH,NSW,2281,,Government,primary
Warners Bay High School,WARNERS BAY,NSW,2282,,Government,secondary
St Mary's Primary School,WARNERS BAY,NSW,2282,,Catholic,primary
Warners Bay Public School,WARNERS BAY,NSW,2282,,Government,primary
Eleebana Public School,ELEEBANA,NSW,2282,,Government,primary
Biddabah Public School,WARNERS BAY,NSW,2282,,Government,primary
Fassifern Public School,FASSIFERN,NSW,2283,,Government,primary
Rathmines Public School,RATHMINES,NSW,2283,,Government,primary
Blackalls Park Public School,BLACKALLS PARK,NSW,2283,,Government,primary
Charlton Christian College,FASSIFERN,NSW,2283,,Private,primary
Coal Point Public School,COAL POINT,NSW,2283,,Government,primary
St Joseph's Primary School,KILABEN BAY,NSW,2283,,Catholic,primary
Toronto Public School,TORONTO,NSW,2283,,Government,primary
Arcadia Vale Public School,ARCADIA VALE,NSW,2283,,Government,primary
Charlton Christian College,FASSIFERN,NSW,2283,,Private,secondary
Toronto Adventist School,TORONTO,NSW,2283,,Private,primary
Toronto High School,TORONTO,NSW,2283,,Government,secondary
Biraban Public School,TORONTO,NSW,2283,,Government,primary
Awaba Public School,AWABA,NSW,2283,,Government,primary
Fennell Bay Public School,FENNELL BAY,NSW,2283,,Government,primary
