school,suburb,state,postcode,score,schoolType,educationLevel
Amanbidji School,TIMBER CREEK,NT,0852,,Government,primary
Timber Creek School,TIMBER CREEK,NT,0852,,Government,secondary
Borroloola School,BORROLOOLA,NT,0854,,Government,secondary
Borroloola School,BORROLOOLA,NT,0854,,Government,primary
Tennant Creek Primary School,TENNANT CREEK,NT,0860,,Government,primary
Tennant Creek High School,TENNANT CREEK,NT,0860,,Government,secondary
Sadadeen Primary School,ALICE SPRINGS,NT,0870,,Government,primary
Bradshaw Primary School,GILLEN,NT,0870,90,Government,primary
Centralian Senior College,ALICE SPRINGS,NT,0870,,Government,secondary
Araluen Christian College,ALICE SPRINGS,NT,0870,,Private,primary
Araluen Christian College,ALICE SPRINGS,NT,0870,92,Private,secondary
Our Lady of the Sacred Heart Catholic College,ALICE SPRINGS,NT,0870,95,Catholic,primary
Our Lady of the Sacred Heart Catholic College,ALICE SPRINGS,NT,0870,98,Catholic,secondary
Our Lady of the Sacred Heart College - Bath Street Campus,ALICE SPRINGS,NT,0870,,Catholic,primary
Our Lady of the Sacred Heart College - Sadadeen Road Campus,ALICE SPRINGS,NT,0870,,Catholic,secondary
Alice Springs School Of The Air,ALICE SPRINGS,NT,0870,,Government,primary
Alice Springs School Of The Air,ALICE SPRINGS,NT,0870,,Government,secondary
Larapinta Primary School,ALICE SPRINGS,NT,0870,,Government,primary
Ross Park Primary School,ALICE SPRINGS,NT,0870,96,Government,primary
Gillen Primary School,GILLEN,NT,0870,,Government,primary
Centralian Middle School,ALICE SPRINGS,NT,0870,,Government,secondary
St Joseph's Catholic Flexible Learning Centre,ALICE SPRINGS,NT,0870,,Catholic,secondary
NT Christian College - Araluen Campus,ALICE SPRINGS,NT,0870,,Private,secondary
Braitling Primary School,BRAITLING,NT,0870,,Government,primary
Alice Springs Steiner School,ROSS,NT,0873,,Private,secondary
Alice Springs Steiner School,ROSS,NT,0873,,Private,primary
Nhulunbuy High School,NHULUNBUY,NT,0880,93,Government,secondary
Nhulunbuy Primary School,NHULUNBUY,NT,0880,91,Government,primary
Observatory Hill Environmental Education Centre,THE ROCKS,NSW,2000,,Government,secondary
Observatory Hill Environmental Education Centre,THE ROCKS,NSW,2000,,Government,primary
Australian International High School,SYDNEY,NSW,2000,,Private,secondary
St Andrew's Cathedral School,SYDNEY,NSW,2000,98,Private,secondary
St Andrew's Cathedral Gawura School,SYDNEY,NSW,2000,,Private,primary
Macquarie Grammar School,SYDNEY,NSW,2000,,Private,secondary
"Oxford College, Sydney",SYDNEY,NSW,2000,,Private,secondary
St Mary's Cathedral College,SYDNEY,NSW,2000,95,Catholic,secondary
St Mary's Cathedral College,SYDNEY,NSW,2000,,Catholic,primary
Conservatorium High School,SYDNEY,NSW,2000,99,Government,secondary
Fort Street Public School,SYDNEY,NSW,2000,,Government,primary
St Andrew's Cathedral School,SYDNEY,NSW,2000,98,Private,primary
Holmes Secondary College,SYDNEY,NSW,2000,,Private,secondary
